"millis,stamp,datetime,motion,,,,"
"58999,1343096722, 2012/7/24 2:25:22, Inactive,41114,0.100949074,0.038449074,7/24/2012 0:55"
"59999,1343096723, 2012/7/24 2:25:23, Inactive,41114,0.100960648,0.038460648,7/24/2012 0:55"
"60999,1343096724, 2012/7/24 2:25:24, Inactive,41114,0.100972222,0.038472222,7/24/2012 0:55"
"61999,1343096725, 2012/7/24 2:25:25, Inactive,41114,0.100983796,0.038483796,7/24/2012 0:55"
"62999,1343096726, 2012/7/24 2:25:26, Inactive,41114,0.10099537,0.03849537,7/24/2012 0:55"
"64000,1343096727, 2012/7/24 2:25:27, Inactive,41114,0.101006944,0.038506944,7/24/2012 0:55"
"64999,1343096728, 2012/7/24 2:25:28, Inactive,41114,0.101018519,0.038518519,7/24/2012 0:55"
"65999,1343096729, 2012/7/24 2:25:29, Inactive,41114,0.101030093,0.038530093,7/24/2012 0:55"
"66999,1343096730, 2012/7/24 2:25:30, Inactive,41114,0.101041667,0.038541667,7/24/2012 0:55"
"67999,1343096731, 2012/7/24 2:25:31, Inactive,41114,0.101053241,0.038553241,7/24/2012 0:55"
"68999,1343096732, 2012/7/24 2:25:32, Inactive,41114,0.101064815,0.038564815,7/24/2012 0:55"
"69999,1343096733, 2012/7/24 2:25:33, Inactive,41114,0.101076389,0.038576389,7/24/2012 0:55"
"71000,1343096734, 2012/7/24 2:25:34, Inactive,41114,0.101087963,0.038587963,7/24/2012 0:55"
"71999,1343096735, 2012/7/24 2:25:35, Inactive,41114,0.101099537,0.038599537,7/24/2012 0:55"
"72999,1343096736, 2012/7/24 2:25:36, Inactive,41114,0.101111111,0.038611111,7/24/2012 0:55"
"73999,1343096737, 2012/7/24 2:25:37, Inactive,41114,0.101122685,0.038622685,7/24/2012 0:55"
"74999,1343096738, 2012/7/24 2:25:38, Inactive,41114,0.101134259,0.038634259,7/24/2012 0:55"
"75999,1343096739, 2012/7/24 2:25:39, Inactive,41114,0.101145833,0.038645833,7/24/2012 0:55"
"76999,1343096740, 2012/7/24 2:25:40, Inactive,41114,0.101157407,0.038657407,7/24/2012 0:55"
"78000,1343096741, 2012/7/24 2:25:41, Inactive,41114,0.101168981,0.038668981,7/24/2012 0:55"
"78999,1343096742, 2012/7/24 2:25:42, Inactive,41114,0.101180556,0.038680556,7/24/2012 0:55"
"80000,1343096743, 2012/7/24 2:25:43, Inactive,41114,0.10119213,0.03869213,7/24/2012 0:55"
"80999,1343096744, 2012/7/24 2:25:44, Inactive,41114,0.101203704,0.038703704,7/24/2012 0:55"
"81999,1343096745, 2012/7/24 2:25:45, Inactive,41114,0.101215278,0.038715278,7/24/2012 0:55"
"82999,1343096746, 2012/7/24 2:25:46, Inactive,41114,0.101226852,0.038726852,7/24/2012 0:55"
"83999,1343096747, 2012/7/24 2:25:47, Inactive,41114,0.101238426,0.038738426,7/24/2012 0:55"
"84999,1343096748, 2012/7/24 2:25:48, Inactive,41114,0.10125,0.03875,7/24/2012 0:55"
"85999,1343096749, 2012/7/24 2:25:49, Inactive,41114,0.101261574,0.038761574,7/24/2012 0:55"
"87000,1343096750, 2012/7/24 2:25:50, Inactive,41114,0.101273148,0.038773148,7/24/2012 0:55"
"87999,1343096751, 2012/7/24 2:25:51, Inactive,41114,0.101284722,0.038784722,7/24/2012 0:55"
"88999,1343096752, 2012/7/24 2:25:52, Inactive,41114,0.101296296,0.038796296,7/24/2012 0:55"
"89998,1343096753, 2012/7/24 2:25:53, Inactive,41114,0.10130787,0.03880787,7/24/2012 0:55"
"90999,1343096754, 2012/7/24 2:25:54, Inactive,41114,0.101319444,0.038819444,7/24/2012 0:55"
"91999,1343096755, 2012/7/24 2:25:55, Inactive,41114,0.101331019,0.038831019,7/24/2012 0:55"
"92999,1343096756, 2012/7/24 2:25:56, Inactive,41114,0.101342593,0.038842593,7/24/2012 0:55"
"93999,1343096757, 2012/7/24 2:25:57, Inactive,41114,0.101354167,0.038854167,7/24/2012 0:55"
"94999,1343096758, 2012/7/24 2:25:58, Inactive,41114,0.101365741,0.038865741,7/24/2012 0:55"
"96000,1343096759, 2012/7/24 2:25:59, Inactive,41114,0.101377315,0.038877315,7/24/2012 0:55"
"96999,1343096760, 2012/7/24 2:26:0, Inactive,41114,0.101388889,0.038888889,7/24/2012 0:56"
"97999,1343096761, 2012/7/24 2:26:1, Inactive,41114,0.101400463,0.038900463,7/24/2012 0:56"
"98999,1343096762, 2012/7/24 2:26:2, Inactive,41114,0.101412037,0.038912037,7/24/2012 0:56"
"99999,1343096763, 2012/7/24 2:26:3, Inactive,41114,0.101423611,0.038923611,7/24/2012 0:56"
"100999,1343096764, 2012/7/24 2:26:4, Inactive,41114,0.101435185,0.038935185,7/24/2012 0:56"
"101999,1343096765, 2012/7/24 2:26:5, Inactive,41114,0.101446759,0.038946759,7/24/2012 0:56"
"103000,1343096766, 2012/7/24 2:26:6, Inactive,41114,0.101458333,0.038958333,7/24/2012 0:56"
"103999,1343096767, 2012/7/24 2:26:7, Inactive,41114,0.101469907,0.038969907,7/24/2012 0:56"
"104998,1343096768, 2012/7/24 2:26:8, Inactive,41114,0.101481481,0.038981481,7/24/2012 0:56"
"105999,1343096769, 2012/7/24 2:26:9, Inactive,41114,0.101493056,0.038993056,7/24/2012 0:56"
"106999,1343096770, 2012/7/24 2:26:10, Inactive,41114,0.10150463,0.03900463,7/24/2012 0:56"
"107999,1343096771, 2012/7/24 2:26:11, Inactive,41114,0.101516204,0.039016204,7/24/2012 0:56"
"108999,1343096772, 2012/7/24 2:26:12, Inactive,41114,0.101527778,0.039027778,7/24/2012 0:56"
"109999,1343096773, 2012/7/24 2:26:13, Inactive,41114,0.101539352,0.039039352,7/24/2012 0:56"
"110999,1343096774, 2012/7/24 2:26:14, Inactive,41114,0.101550926,0.039050926,7/24/2012 0:56"
"112000,1343096775, 2012/7/24 2:26:15, Inactive,41114,0.1015625,0.0390625,7/24/2012 0:56"
"112999,1343096776, 2012/7/24 2:26:16, Inactive,41114,0.101574074,0.039074074,7/24/2012 0:56"
"113999,1343096777, 2012/7/24 2:26:17, Inactive,41114,0.101585648,0.039085648,7/24/2012 0:56"
"114999,1343096778, 2012/7/24 2:26:18, Inactive,41114,0.101597222,0.039097222,7/24/2012 0:56"
"115999,1343096779, 2012/7/24 2:26:19, Inactive,41114,0.101608796,0.039108796,7/24/2012 0:56"
"116999,1343096780, 2012/7/24 2:26:20, Inactive,41114,0.10162037,0.03912037,7/24/2012 0:56"
"117999,1343096781, 2012/7/24 2:26:21, Inactive,41114,0.101631944,0.039131944,7/24/2012 0:56"
"119000,1343096782, 2012/7/24 2:26:22, Inactive,41114,0.101643519,0.039143519,7/24/2012 0:56"
"119999,1343096783, 2012/7/24 2:26:23, Inactive,41114,0.101655093,0.039155093,7/24/2012 0:56"
"120999,1343096784, 2012/7/24 2:26:24, Inactive,41114,0.101666667,0.039166667,7/24/2012 0:56"
"121999,1343096785, 2012/7/24 2:26:25, Inactive,41114,0.101678241,0.039178241,7/24/2012 0:56"
"122998,1343096786, 2012/7/24 2:26:26, Inactive,41114,0.101689815,0.039189815,7/24/2012 0:56"
"123999,1343096787, 2012/7/24 2:26:27, Inactive,41114,0.101701389,0.039201389,7/24/2012 0:56"
"124999,1343096788, 2012/7/24 2:26:28, Inactive,41114,0.101712963,0.039212963,7/24/2012 0:56"
"125999,1343096789, 2012/7/24 2:26:29, Inactive,41114,0.101724537,0.039224537,7/24/2012 0:56"
"126999,1343096790, 2012/7/24 2:26:30, Inactive,41114,0.101736111,0.039236111,7/24/2012 0:56"
"128000,1343096791, 2012/7/24 2:26:31, Inactive,41114,0.101747685,0.039247685,7/24/2012 0:56"
"128999,1343096792, 2012/7/24 2:26:32, Inactive,41114,0.101759259,0.039259259,7/24/2012 0:56"
"129999,1343096793, 2012/7/24 2:26:33, Inactive,41114,0.101770833,0.039270833,7/24/2012 0:56"
"130999,1343096794, 2012/7/24 2:26:34, Inactive,41114,0.101782407,0.039282407,7/24/2012 0:56"
"131998,1343096795, 2012/7/24 2:26:35, Inactive,41114,0.101793981,0.039293981,7/24/2012 0:56"
"132999,1343096796, 2012/7/24 2:26:36, Inactive,41114,0.101805556,0.039305556,7/24/2012 0:56"
"133999,1343096797, 2012/7/24 2:26:37, Inactive,41114,0.10181713,0.03931713,7/24/2012 0:56"
"135000,1343096798, 2012/7/24 2:26:38, Inactive,41114,0.101828704,0.039328704,7/24/2012 0:56"
"135999,1343096799, 2012/7/24 2:26:39, Inactive,41114,0.101840278,0.039340278,7/24/2012 0:56"
"136999,1343096800, 2012/7/24 2:26:40, Inactive,41114,0.101851852,0.039351852,7/24/2012 0:56"
"137999,1343096801, 2012/7/24 2:26:41, Inactive,41114,0.101863426,0.039363426,7/24/2012 0:56"
